zip,county_fips,county_name
92879,06065,Riverside County
92880,06065,Riverside County
92881,06065,Riverside County
92882,06065,Riverside County
92883,06065,Riverside County
92886,06059,Orange County
92887,06059,Orange County
93001,06111,Ventura County
93003,06111,Ventura County
93004,06111,Ventura County
93010,06111,Ventura County
93012,06111,Ventura County
93013,06083,Santa Barbara County
93015,06111,Ventura County
93021,06111,Ventura County
93022,06111,Ventura County
93023,06111,Ventura County
93030,06111,Ventura County
93033,06111,Ventura County
93035,06111,Ventura County
93036,06111,Ventura County
93040,06111,Ventura County
93041,06111,Ventura County
93042,06111,Ventura County
93043,06111,Ventura County
93060,06111,Ventura County
93063,06111,Ventura County
93064,06111,Ventura County
93065,06111,Ventura County
93066,06111,Ventura County
93067,06083,Santa Barbara County
93101,06083,Santa Barbara County
93103,06083,Santa Barbara County
93105,06083,Santa Barbara County
93106,06083,Santa Barbara County
93108,06083,Santa Barbara County
93109,06083,Santa Barbara County
93110,06083,Santa Barbara County
93111,06083,Santa Barbara County
93117,06083,Santa Barbara County
93201,06107,Tulare County
93202,06031,Kings County
93203,06029,Kern County
93204,06031,Kings County
93205,06029,Kern County
93206,06029,Kern County
93207,06107,Tulare County
93208,06107,Tulare County
93210,06019,Fresno County
93212,06031,Kings County
93215,06029,Kern County
93218,06107,Tulare County
93219,06107,Tulare County
93220,06029,Kern County
93221,06107,Tulare County
93222,06029,Kern County
93223,06107,Tulare County
93224,06029,Kern County
93225,06111,Ventura County
93226,06029,Kern County
93227,06107,Tulare County
93230,06031,Kings County
93234,06019,Fresno County
93235,06107,Tulare County
93237,06107,Tulare County
93238,06107,Tulare County
93239,06031,Kings County
93240,06029,Kern County
93241,06029,Kern County
93242,06019,Fresno County
93243,06029,Kern County
93244,06107,Tulare County
93245,06031,Kings County
93246,06031,Kings County
93247,06107,Tulare County
93249,06029,Kern County
93250,06029,Kern County
93251,06029,Kern County
93252,06111,Ventura County
93254,06083,Santa Barbara County
93255,06029,Kern County
93256,06107,Tulare County
93257,06107,Tulare County
93258,06107,Tulare County
93260,06107,Tulare County
93261,06107,Tulare County
93262,06107,Tulare County
93263,06029,Kern County
93265,06107,Tulare County
93266,06031,Kings County
93267,06107,Tulare County
93268,06029,Kern County
93270,06107,Tulare County
93271,06107,Tulare County
93272,06107,Tulare County
93274,06107,Tulare County
93276,06029,Kern County
93277,06107,Tulare County
93280,06029,Kern County
93283,06029,Kern County
93285,06029,Kern County
93286,06107,Tulare County
93287,06029,Kern County
93291,06107,Tulare County
93292,06107,Tulare County
93301,06029,Kern County
93304,06029,Kern County
93305,06029,Kern County
93306,06029,Kern County
93307,06029,Kern County
93308,06029,Kern County
93309,06029,Kern County
93311,06029,Kern County
93312,06029,Kern County
93313,06029,Kern County
93314,06029,Kern County
93401,06079,San Luis Obispo County
93402,06079,San Luis Obispo County
93405,06079,San Luis Obispo County
93407,06079,San Luis Obispo County
93408,06079,San Luis Obispo County
93409,06079,San Luis Obispo County
93410,06079,San Luis Obispo County
93420,06079,San Luis Obispo County
93422,06079,San Luis Obispo County
93424,06079,San Luis Obispo County
93426,06053,Monterey County
93427,06083,Santa Barbara County
93428,06079,San Luis Obispo County
93429,06083,Santa Barbara County
93430,06079,San Luis Obispo County
93432,06079,San Luis Obispo County
93433,06079,San Luis Obispo County
93434,06083,Santa Barbara County
93436,06083,Santa Barbara County
93437,06083,Santa Barbara County
93440,06083,Santa Barbara County
93441,06083,Santa Barbara County
93442,06079,San Luis Obispo County
93444,06079,San Luis Obispo County
93445,06079,San Luis Obispo County
93446,06079,San Luis Obispo County
93449,06079,San Luis Obispo County
93450,06053,Monterey County
93451,06053,Monterey County
93452,06079,San Luis Obispo County
93453,06079,San Luis Obispo County
93454,06083,Santa Barbara County
93455,06083,Santa Barbara County
93458,06083,Santa Barbara County
93460,06083,Santa Barbara County
93461,06079,San Luis Obispo County
93463,06083,Santa Barbara County
93465,06079,San Luis Obispo County
93501,06029,Kern County
93505,06029,Kern County
93510,06037,Los Angeles County
93512,06051,Mono County
93513,06027,Inyo County
93514,06051,Mono County
93516,06029,Kern County
93517,06051,Mono County
93518,06029,Kern County
93519,06029,Kern County
93522,06027,Inyo County
93523,06029,Kern County
93524,06029,Kern County
93526,06027,Inyo County
93527,06107,Tulare County
93528,06029,Kern County
93529,06051,Mono County
93530,06027,Inyo County
93531,06029,Kern County
93532,06037,Los Angeles County
93534,06037,Los Angeles County
93535,06037,Los Angeles County
93536,06037,Los Angeles County
93541,06051,Mono County
93543,06037,Los Angeles County
93544,06037,Los Angeles County
93545,06027,Inyo County
93546,06051,Mono County
93549,06027,Inyo County
93550,06037,Los Angeles County
93551,06037,Los Angeles County
93552,06037,Los Angeles County
93553,06037,Los Angeles County
93554,06029,Kern County
93555,06029,Kern County
93558,06071,San Bernardino County
93560,06029,Kern County
93561,06029,Kern County
93562,06071,San Bernardino County
93563,06037,Los Angeles County
93581,06029,Kern County
93591,06037,Los Angeles County
93601,06039,Madera County
93602,06019,Fresno County
93603,06107,Tulare County
93604,06039,Madera County
93605,06019,Fresno County
93606,06019,Fresno County
93608,06019,Fresno County
93609,06019,Fresno County
93610,06039,Madera County
93611,06019,Fresno County
93612,06019,Fresno County
93614,06039,Madera County
93615,06107,Tulare County
93616,06019,Fresno County
93618,06107,Tulare County
93619,06019,Fresno County
93620,06047,Merced County
93621,06019,Fresno County
93622,06019,Fresno County
93623,06043,Mariposa County
93624,06019,Fresno County
93625,06019,Fresno County
93626,06039,Madera County
93627,06019,Fresno County
93628,06019,Fresno County
93630,06019,Fresno County
93631,06107,Tulare County
93633,06107,Tulare County
93634,06019,Fresno County
93635,06047,Merced County
93636,06039,Madera County
93637,06039,Madera County
93638,06039,Madera County
93640,06019,Fresno County
93641,06019,Fresno County
93643,06039,Madera County
93644,06039,Madera County
93645,06039,Madera County
93646,06107,Tulare County
93647,06107,Tulare County
93648,06019,Fresno County
93650,06019,Fresno County
93651,06019,Fresno County
93652,06019,Fresno County
93653,06039,Madera County
93654,06019,Fresno County
93656,06019,Fresno County
93657,06019,Fresno County
93660,06019,Fresno County
93662,06019,Fresno County
93664,06019,Fresno County
93665,06047,Merced County
93666,06107,Tulare County
93667,06019,Fresno County
93668,06019,Fresno County
93669,06039,Madera County
93670,06107,Tulare County
93673,06107,Tulare County
93675,06019,Fresno County
93701,06019,Fresno County
93702,06019,Fresno County
93703,06019,Fresno County
93704,06019,Fresno County
93705,06019,Fresno County
93706,06019,Fresno County
93710,06019,Fresno County
93711,06019,Fresno County
93720,06019,Fresno County
